Date,Price,Open,High,Low,Vol.,Change %
"Dec 14, 2018",31437,31440,31514,31384,6.75K,0.07%
"Dec 17, 2018",31501,31369,31530,31291,5.97K,0.20%
"Dec 18, 2018",31075,31589,31650,31041,10.18K,-1.35%
"Dec 19, 2018",31139,31167,31500,30967,8.76K,0.21%
"Dec 20, 2018",31219,31027,31250,30914,12.97K,0.26%
"Dec 21, 2018",31126,31115,31292,31075,9.91K,-0.30%
"Dec 24, 2018",31375,31300,31395,31177,8.57K,0.80%
"Dec 26, 2018",31463,31430,31643,31400,10.03K,0.28%
"Dec 27, 2018",31611,31499,31647,31426,8.01K,0.47%
"Dec 28, 2018",31506,31576,31629,31462,6.64K,-0.33%
"Dec 31, 2018",31489,31452,31583,31284,6.60K,-0.05%
"Jan 01, 2019",31560,31550,31651,31410,0.68K,0.23%
"Jan 02, 2019",31934,31530,32500,31510,0.40K,1.19%
"Jan 03, 2019",31939,32000,32045,31836,0.17K,0.02%
"Jan 04, 2019",31679,32686,32686,31460,0.06K,-0.81%
"Jan 07, 2019",31652,31536,31748,31456,12.80K,-0.09%
"Jan 08, 2019",31736,31616,31758,31572,10.84K,0.27%
"Jan 09, 2019",31993,31685,32016,31639,14.63K,0.81%
"Jan 10, 2019",31878,32090,32119,31855,13.33K,-0.36%
"Jan 11, 2019",31924,31907,32065,31888,10.56K,0.14%
"Jan 14, 2019",32130,32050,32194,31963,13.65K,0.65%
"Jan 15, 2019",32169,32066,32273,32064,12.59K,0.12%
"Jan 16, 2019",32272,32148,32299,32103,11.36K,0.32%
"Jan 17, 2019",32253,32300,32363,32190,12.92K,-0.06%
"Jan 18, 2019",32089,32295,32305,32052,12.63K,-0.51%
"Jan 21, 2019",32039,32052,32184,31985,8.90K,-0.16%
"Jan 22, 2019",32154,32030,32189,31949,12.04K,0.36%
"Jan 23, 2019",32135,32105,32199,32060,10.91K,-0.06%
"Jan 24, 2019",32016,32100,32147,31986,9.55K,-0.37%
"Jan 25, 2019",32339,32057,32367,32019,13.03K,1.01%
"Jan 28, 2019",32536,32383,32570,32383,10.90K,0.61%
"Jan 29, 2019",32891,32570,32967,32530,13.05K,1.09%
"Jan 30, 2019",32903,32900,32975,32807,9.82K,0.04%
"Jan 31, 2019",33100,32937,33245,32903,10.39K,0.60%
"Feb 01, 2019",33405,33119,33500,32997,3.12K,0.92%
"Feb 04, 2019",33455,34247,34400,33285,0.42K,0.15%
"Feb 05, 2019",33381,33549,33549,33250,0.13K,-0.22%
"Feb 06, 2019",33222,33199,33378,33175,7.27K,-0.48%
"Feb 07, 2019",33056,33169,33200,32951,10.60K,-0.50%
"Feb 08, 2019",33125,33000,33142,32910,9.43K,0.21%
"Feb 11, 2019",32931,33060,33082,32811,11.15K,-0.59%
"Feb 12, 2019",32747,32915,32945,32721,9.36K,-0.56%
"Feb 13, 2019",32909,32727,33028,32680,10.85K,0.49%
"Feb 14, 2019",32970,32862,33000,32765,11.45K,0.19%
"Feb 15, 2019",33263,32992,33280,32992,11.79K,0.89%
"Feb 18, 2019",33463,33333,33484,33333,8.88K,0.60%
"Feb 19, 2019",33753,33499,33797,33434,11.91K,0.87%
"Feb 20, 2019",33719,33800,33877,33680,9.09K,-0.10%
"Feb 21, 2019",33302,33630,33658,33265,14.50K,-1.24%
"Feb 22, 2019",33369,33302,33413,33190,9.55K,0.20%
"Feb 25, 2019",33159,33385,33398,33130,8.44K,-0.63%
"Feb 26, 2019",33228,33225,33450,33205,9.01K,0.21%
"Feb 27, 2019",33171,33300,33466,33138,9.40K,-0.17%
"Feb 28, 2019",32902,33189,33260,32877,8.13K,-0.81%
"Mar 01, 2019",32533,32857,32953,31915,1.56K,-1.12%
"Mar 04, 2019",32505,32394,32601,32315,0.15K,-0.09%
"Mar 05, 2019",32015,33435,33440,32000,0.24K,-1.51%
"Mar 06, 2019",31954,32136,32300,31885,16.71K,-0.19%
"Mar 07, 2019",31946,31959,31980,31800,14.75K,-0.03%
"Mar 08, 2019",32174,31980,32235,31955,16.62K,0.71%
"Mar 11, 2019",31915,32214,32214,31897,12.41K,-0.80%
"Mar 12, 2019",32015,31906,32056,31885,12.06K,0.31%
"Mar 13, 2019",32225,32088,32330,32088,13.82K,0.66%
"Mar 14, 2019",31832,32274,32274,31813,17.21K,-1.22%
"Mar 15, 2019",31853,31895,31960,31768,13.20K,0.07%
"Mar 18, 2019",31685,31800,31815,31590,12.27K,-0.53%
"Mar 19, 2019",31985,31750,32017,31691,14.67K,0.95%
"Mar 20, 2019",31740,31961,31961,31704,14.38K,-0.77%
"Mar 21, 2019",31842,31899,32064,31806,9.41K,0.32%
"Mar 22, 2019",32155,31869,32184,31748,19.21K,0.98%
"Mar 25, 2019",32223,32199,32245,32083,14.02K,0.21%
"Mar 26, 2019",32113,32200,32200,32031,13.04K,-0.34%
"Mar 27, 2019",32019,32101,32182,32000,17.72K,-0.29%
"Mar 28, 2019",31624,31993,32030,31591,15.06K,-1.23%
"Mar 29, 2019",31703,31600,31788,31510,11.36K,0.25%
"Apr 01, 2019",31570,31588,31730,31542,4.52K,-0.42%
"Apr 02, 2019",31535,31550,31590,31359,0.39K,-0.11%
"Apr 03, 2019",31450,31499,31607,31318,0.17K,-0.27%
"Apr 04, 2019",31503,31499,31549,31350,0.07K,0.17%
"Apr 05, 2019",31566,31535,31620,31400,0.06K,0.20%
"Apr 08, 2019",32076,31795,32155,31795,12.90K,1.62%
"Apr 09, 2019",32098,32131,32171,32020,11.01K,0.07%
"Apr 10, 2019",32174,32070,32197,31968,11.74K,0.24%
"Apr 11, 2019",31663,32148,32148,31638,17.11K,-1.59%
"Apr 12, 2019",31760,31721,31871,31705,11.01K,0.31%
"Apr 15, 2019",31760,31710,31791,31570,8.54K,0.00%
"Apr 16, 2019",31474,31700,31768,31453,14.48K,-0.90%
"Apr 17, 2019",31410,31500,31525,31393,5.65K,-0.20%
"Apr 18, 2019",31403,31474,31544,31355,9.87K,-0.02%
"Apr 22, 2019",31531,31497,31697,31497,9.89K,0.41%
"Apr 23, 2019",31525,31490,31566,31401,9.92K,-0.02%
"Apr 24, 2019",31759,31480,31799,31450,12.64K,0.74%
"Apr 25, 2019",31843,31750,31926,31641,11.64K,0.26%
"Apr 26, 2019",31868,31851,31934,31705,9.67K,0.08%
"Apr 30, 2019",31625,31800,31824,31597,6.44K,-0.76%
"May 01, 2019",31563,31604,31657,31503,1.55K,-0.20%
"May 02, 2019",31203,31420,31425,31160,0.48K,-1.14%
"May 03, 2019",31341,31250,31500,31163,0.08K,0.44%
